Date,High,Low,Open,Close,Volume,Adj Close
2020-03-17,345.0,316.0,345.0,326.5,1573740.0,325.95245361328125
2020-03-18,325.0,291.0,320.5,294.5,1914672.0,294.0061340332031
2020-03-19,305.5,268.0,290.5,278.5,2352323.0,278.032958984375
2020-03-20,338.0,297.0,306.0,333.5,1895899.0,332.9407043457031
2020-03-23,322.5,304.0,316.0,307.5,1511226.0,306.9843444824219
2020-03-24,316.5,282.5,293.0,313.0,2459466.0,312.47509765625
2020-03-25,324.0,289.0,318.0,298.0,1839901.0,297.500244140625
2020-03-26,308.5,290.0,291.5,304.5,1339261.0,303.9893493652344
2020-03-27,307.0,289.5,305.0,300.5,1089122.0,299.9960632324219
2020-03-30,335.0,301.5,302.0,334.0,1068468.0,333.43988037109375
2020-03-31,358.5,330.0,346.0,338.0,1090766.0,337.43316650390625
2020-04-01,339.8999938964844,328.20001220703125,334.5,338.29998779296875,631684.0,337.732666015625
2020-04-02,341.6000061035156,321.20001220703125,337.70001220703125,325.0,620629.0,324.4549560546875
2020-04-03,346.6000061035156,320.70001220703125,327.29998779296875,338.1000061035156,548866.0,337.53302001953125
2020-04-06,365.6000061035156,354.70001220703125,358.8999938964844,360.6000061035156,921179.0,359.99530029296875
2020-04-07,391.8999938964844,372.0,372.0,381.29998779296875,992996.0,380.6605224609375
2020-04-08,412.5,374.5,379.3999938964844,409.6000061035156,855862.0,408.9130859375
2020-04-09,429.70001220703125,415.0,415.0,424.0,601025.0,423.2889709472656
2020-04-14,465.3999938964844,424.29998779296875,429.1000061035156,458.70001220703125,1288629.0,457.9307556152344
2020-04-15,476.79998779296875,451.1000061035156,460.0,453.79998779296875,1252776.0,453.0389404296875
2020-04-16,467.8999938964844,453.5,453.8999938964844,458.20001220703125,836031.0,457.4316101074219
2020-04-17,484.5,467.29998779296875,469.0,481.8999938964844,899296.0,481.0918273925781
2020-04-20,487.8999938964844,458.0,485.0,470.0,956341.0,469.2117919921875
2020-04-21,477.8999938964844,462.0,468.0,475.8999938964844,667889.0,475.1018981933594
2020-04-22,483.5,469.1000061035156,479.0,478.1000061035156,968965.0,477.2982177734375
2020-04-23,500.79998779296875,464.6000061035156,490.0,480.79998779296875,1802077.0,479.9936828613281
2020-04-24,482.79998779296875,448.1000061035156,480.79998779296875,455.0,967605.0,454.2369689941406
2020-04-27,473.70001220703125,451.0,455.0,469.20001220703125,840042.0,468.845947265625
2020-04-28,472.5,451.5,469.0,454.6000061035156,732386.0,454.2569580078125
2020-04-29,453.20001220703125,434.20001220703125,452.1000061035156,436.5,1151309.0,436.1706237792969
2020-04-30,447.79998779296875,422.8999938964844,435.0,444.8999938964844,640233.0,444.56427001953125
2020-05-04,453.5,427.29998779296875,437.3999938964844,449.6000061035156,752404.0,449.2607421875
2020-05-05,462.0,442.5,460.0,453.6000061035156,571283.0,453.2577209472656
2020-05-06,473.1000061035156,456.6000061035156,461.6000061035156,465.1000061035156,903092.0,464.7490539550781
2020-05-07,485.20001220703125,462.20001220703125,470.0,479.70001220703125,804853.0,479.3380432128906
2020-05-08,501.0,477.1000061035156,484.1000061035156,495.0,589408.0,494.62646484375
2020-05-11,509.0,496.20001220703125,496.29998779296875,508.0,868556.0,507.6166687011719
2020-05-12,508.0,493.79998779296875,508.0,497.8999938964844,889820.0,497.5242919921875
2020-05-13,504.20001220703125,485.0,493.1000061035156,497.6000061035156,668046.0,497.2245178222656
2020-05-14,497.0,481.20001220703125,495.0,485.0,674392.0,484.634033203125
2020-05-15,497.8999938964844,477.5,490.6000061035156,492.0,643814.0,491.6287536621094
2020-05-18,513.5999755859375,499.1000061035156,500.0,504.6000061035156,575720.0,504.21923828125
2020-05-19,549.7999877929688,514.0,515.0,530.2000122070312,1417711.0,529.7999267578125
2020-05-20,542.7999877929688,524.5999755859375,530.2000122070312,527.2000122070312,510920.0,526.8021850585938
2020-05-22,537.4000244140625,513.0,525.0,537.4000244140625,706438.0,536.9945068359375
2020-05-25,559.7999877929688,539.0,543.0,552.0,722557.0,551.5834350585938
2020-05-26,581.2000122070312,560.4000244140625,565.0,565.4000244140625,930945.0,564.973388671875
2020-05-27,573.0,533.0,571.4000244140625,539.0,1278466.0,538.59326171875
2020-05-28,567.5999755859375,541.4000244140625,544.4000244140625,561.5999755859375,1437521.0,561.1762084960938
2020-05-29,580.4000244140625,548.0,562.2000122070312,555.7999877929688,8725458.0,555.3805541992188
